phase2_group,dataset,split_type,protocol,mode,model,k,max_train_queries,max_test_queries,train_fraction,feature_set,tabpfn_version,seed_count,ndcg@10_mean,ndcg@10_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,hitrate@10_mean,hitrate@10_std,runtime_seconds_median,n_queries_median
amazon_sanity,amazon_baby_products,item_cold,context_popularity,pointwise,catboost,20,50,50,1.0,full,v2.5,3,0.5891234410119872,0.08672847880647451,0.7933333333333333,0.07023769168568492,0.5390654255731655,0.08891288714085123,0.7933333333333333,0.07023769168568492,0.2242224999936297,50.0
amazon_sanity,amazon_baby_products,item_cold,context_popularity,pointwise,tabpfn,20,50,50,1.0,full,v2.5,3,0.881851571988447,0.09799599281954552,1.0,0.0,0.8427566137566137,0.12978347020773423,1.0,0.0,84.73465304198908,50.0
amazon_sanity,amazon_baby_products,item_cold,context_popularity,pointwise,tabpfn_native,20,50,50,1.0,full,v2.5,3,0.9380363767246921,0.04539493339513482,0.9933333333333333,0.011547005383792533,0.9211349206349206,0.05777019889678804,0.9933333333333333,0.011547005383792533,4.823410374985542,50.0
amazon_sanity,amazon_baby_products,item_cold,context_popularity,pointwise,xgboost,20,50,50,1.0,full,v2.5,3,0.4882289246665774,0.08744701143169838,0.7133333333333334,0.1553490693030806,0.4396128015145044,0.05841368602021667,0.7133333333333334,0.1553490693030806,0.190478999982588,50.0
amazon_sanity,amazon_baby_products,item_cold,global_popularity,pointwise,catboost,20,50,50,1.0,full,v2.5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1796862079936545,50.0
amazon_sanity,amazon_baby_products,item_cold,global_popularity,pointwise,tabpfn,20,50,50,1.0,full,v2.5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,19.02339766698424,50.0
amazon_sanity,amazon_baby_products,item_cold,global_popularity,pointwise,tabpfn_native,20,50,50,1.0,full,v2.5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.813531166000757,50.0
amazon_sanity,amazon_baby_products,item_cold,global_popularity,pointwise,xgboost,20,50,50,1.0,full,v2.5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0677579999901354,50.0
amazon_sanity,amazon_baby_products,warm,context_popularity,pointwise,catboost,20,50,50,1.0,full,v2.5,3,0.4925194039213356,0.0,0.7200000000000001,0.0,0.443270634594164,0.0,0.7200000000000001,0.0,0.2200653330073692,50.0
amazon_sanity,amazon_baby_products,warm,context_popularity,pointwise,tabpfn,20,50,50,1.0,full,v2.5,3,0.5629516465694235,0.0,0.7799999999999999,0.0,0.5119059530940335,0.0,0.7799999999999999,0.0,80.7099589999998,50.0
amazon_sanity,amazon_baby_products,warm,context_popularity,pointwise,tabpfn_native,20,50,50,1.0,full,v2.5,3,0.5696524427870279,0.0,0.82,0.0,0.5076382126645285,0.0,0.82,0.0,4.6176177909947,50.0
amazon_sanity,amazon_baby_products,warm,context_popularity,pointwise,xgboost,20,50,50,1.0,full,v2.5,3,0.4582582679247434,0.0,0.68,0.0,0.4144887869268674,0.0,0.68,0.0,0.1885758750140667,50.0
amazon_sanity,amazon_baby_products,warm,global_popularity,pointwise,catboost,20,50,50,1.0,full,v2.5,3,0.9663092975357145,0.0,0.98,0.0,0.9640384615384616,0.0,0.98,0.0,0.1799850839888677,50.0
amazon_sanity,amazon_baby_products,warm,global_popularity,pointwise,tabpfn,20,50,50,1.0,full,v2.5,3,0.9766666666666666,0.0,1.0,0.0,0.9695238095238096,0.0,1.0,0.0,18.99907016698853,50.0
amazon_sanity,amazon_baby_products,warm,global_popularity,pointwise,tabpfn_native,20,50,50,1.0,full,v2.5,3,0.97314474365544,0.0,1.0,0.0,0.9655555555555556,0.0,1.0,0.0,4.6017462499730755,50.0
amazon_sanity,amazon_baby_products,warm,global_popularity,pointwise,xgboost,20,50,50,1.0,full,v2.5,3,0.9657812965263576,0.0,0.98,0.0,0.9635384615384616,0.0,0.98,0.0,0.0685901670076418,50.0
