dataset,split_type,protocol,seed,train_fraction,comparison,left_model,right_model,metric,n_queries,mean_delta,ci_lower,ci_upper,ci_excludes_zero_positive
movielens_100k,warm,global_popularity,0,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.005330823176658286,-0.030379435968638947,0.019357215575288217,False
movielens_100k,warm,global_popularity,0,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.11791217485321685,0.07623908277039847,0.15720274613835242,True
movielens_100k,warm,global_popularity,1,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.005330823176658286,-0.028666190177519237,0.018768213421316588,False
movielens_100k,warm,global_popularity,1,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.11791217485321685,0.07864763752125542,0.15689767895095955,True
movielens_100k,warm,global_popularity,2,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.005330823176658286,-0.02966660328245284,0.01810076445435521,False
movielens_100k,warm,global_popularity,2,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.11791217485321685,0.07811977380488608,0.1580937963951333,True
movielens_100k,warm,global_popularity,0,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.006551462534971674,-0.023490818414334657,0.00985739309949062,False
movielens_100k,warm,global_popularity,0,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.014465185112960126,-0.008171790141934152,0.04062796705054522,False
movielens_100k,warm,global_popularity,1,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.006551462534971674,-0.02374189891937045,0.009029815508908948,False
movielens_100k,warm,global_popularity,1,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.014465185112960126,-0.00996581775399395,0.04162837303188876,False
movielens_100k,warm,global_popularity,2,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.006551462534971674,-0.025854556000508074,0.009175517362178032,False
movielens_100k,warm,global_popularity,2,0.2,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.014465185112960126,-0.010321160061660442,0.04113384195413703,False
movielens_100k,warm,global_popularity,0,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.019779406098637913,-0.0016536858438887586,0.042824121450782876,False
movielens_100k,warm,global_popularity,0,0.5,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.07932668918162537,0.04065993136795484,0.1237952930998224,True
movielens_100k,warm,global_popularity,1,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.019779406098637913,0.00010754992668774269,0.04245983025371768,True
movielens_100k,warm,global_popularity,1,0.5,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.07932668918162537,0.04082180897678243,0.12105076239642802,True
