phase2_group,dataset,split_type,protocol,mode,model,k,max_train_queries,max_test_queries,train_fraction,feature_set,tabpfn_version,seed_count,ndcg@10_mean,ndcg@10_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,hitrate@10_mean,hitrate@10_std,runtime_seconds_median,n_queries_median
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,1,0.9087096569156446,,0.99,,0.8833333333333333,,0.99,,37.84177216599346,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,metadata_only,v2.5,1,0.545614980469127,,0.94,,0.4252155801714625,,0.94,,44.67784654101706,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,no_interaction_history,v2.5,1,0.545614980469127,,0.94,,0.4252155801714625,,0.94,,29.077921666001203,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,no_item_metadata,v2.5,1,0.8697556699786817,,0.95,,0.8497095394285796,,0.95,,15.262402500025928,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,no_user_metadata,v2.5,1,0.9087096569156446,,0.99,,0.8833333333333333,,0.99,,35.58207254199078,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,1,0.8642182109641368,,0.95,,0.8429348845598845,,0.95,,29.211878457979765,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,metadata_only,v2.5,1,0.5518693776324601,,0.92,,0.4386390821081223,,0.92,,17.519070500013186,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_interaction_history,v2.5,1,0.5518693776324601,,0.92,,0.4386390821081223,,0.92,,19.394135207985528,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_item_metadata,v2.5,1,0.8697556699786817,,0.95,,0.8497095394285796,,0.95,,12.170887709013186,100.0
feature_group_ablation,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_user_metadata,v2.5,1,0.8642182109641368,,0.95,,0.8429348845598845,,0.95,,25.61213425002643,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,1,0.9547811458664504,,1.0,,0.9391666666666668,,1.0,,37.27545333301532,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,metadata_only,v2.5,1,0.6262827026950771,,0.95,,0.5233736998295823,,0.95,,34.101585999975214,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,no_interaction_history,v2.5,1,0.6262827026950771,,0.95,,0.5233736998295823,,0.95,,30.630737625004254,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,no_item_metadata,v2.5,1,0.9889278926071436,,1.0,,0.985,,1.0,,13.50753029200132,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,no_user_metadata,v2.5,1,0.9547811458664504,,1.0,,0.9391666666666668,,1.0,,32.92631816701032,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,1,0.9782346581878776,,1.0,,0.9708333333333334,,1.0,,28.524355708999792,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,metadata_only,v2.5,1,0.6002714097555163,,0.95,,0.489886655011655,,0.95,,20.46565883400035,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_interaction_history,v2.5,1,0.6002714097555163,,0.95,,0.489886655011655,,0.95,,20.317173541989177,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_item_metadata,v2.5,1,0.9889278926071436,,1.0,,0.985,,1.0,,12.737241958006052,100.0
feature_group_ablation,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,no_user_metadata,v2.5,1,0.9782346581878776,,1.0,,0.9708333333333334,,1.0,,27.347268292010995,100.0
